"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 05 17:03:04 UTC 2025","Fri Dec 05 17:03:04 UTC 2025","308","LMS service","Courses","Update entity","","","Update course",""
"passed","Fri Dec 05 17:03:10 UTC 2025","Fri Dec 05 17:03:10 UTC 2025","16","LMS service","Files","Validate entity","","","Create file with empty filename",""
"passed","Fri Dec 05 17:03:04 UTC 2025","Fri Dec 05 17:03:04 UTC 2025","302","LMS service","Courses","Get entities","","","Get courses",""
"passed","Fri Dec 05 17:03:11 UTC 2025","Fri Dec 05 17:03:12 UTC 2025","533","LMS service","Users","Create entity","","","Create user",""
"passed","Fri Dec 05 17:03:09 UTC 2025","Fri Dec 05 17:03:09 UTC 2025","263","LMS service","Files","Create entity","","","Create file",""
"passed","Fri Dec 05 17:03:10 UTC 2025","Fri Dec 05 17:03:10 UTC 2025","19","LMS service","Files","Delete entity","","","Delete file",""
"passed","Fri Dec 05 17:03:08 UTC 2025","Fri Dec 05 17:03:08 UTC 2025","19","LMS service","Exercises","Delete entity","","","Delete exercise",""
"passed","Fri Dec 05 17:03:08 UTC 2025","Fri Dec 05 17:03:08 UTC 2025","21","LMS service","Exercises","Get entities","","","Get exercises",""
"passed","Fri Dec 05 17:03:11 UTC 2025","Fri Dec 05 17:03:11 UTC 2025","262","LMS service","Files","Validate entity","","","Create file with empty directory",""
"passed","Fri Dec 05 17:03:12 UTC 2025","Fri Dec 05 17:03:12 UTC 2025","527","LMS service","Users","Create entity","","","Create user",""
"passed","Fri Dec 05 17:03:11 UTC 2025","Fri Dec 05 17:03:11 UTC 2025","17","LMS service","Files","Validate entity","","","Get file with incorrect file id",""
"passed","Fri Dec 05 17:03:05 UTC 2025","Fri Dec 05 17:03:05 UTC 2025","27","LMS service","Courses","Create entity","","","Create course",""
"passed","Fri Dec 05 17:03:07 UTC 2025","Fri Dec 05 17:03:07 UTC 2025","24","LMS service","Exercises","Get entity","","","Get exercise",""
"passed","Fri Dec 05 17:03:09 UTC 2025","Fri Dec 05 17:03:09 UTC 2025","15","LMS service","Files","Get entity","","","Get file",""
"passed","Fri Dec 05 17:03:03 UTC 2025","Fri Dec 05 17:03:03 UTC 2025","287","LMS service","Authentication","Login","","","Login with correct email and password",""
"passed","Fri Dec 05 17:03:06 UTC 2025","Fri Dec 05 17:03:07 UTC 2025","291","LMS service","Exercises","Update entity","","","Update exercise",""
"passed","Fri Dec 05 17:03:13 UTC 2025","Fri Dec 05 17:03:13 UTC 2025","14","LMS service","Users","Get entity","","","Get user me",""
"passed","Fri Dec 05 17:03:05 UTC 2025","Fri Dec 05 17:03:06 UTC 2025","261","LMS service","Exercises","Create entity","","","Create exercise",""
"passed","Fri Dec 05 17:03:11 UTC 2025","Fri Dec 05 17:03:12 UTC 2025","287","LMS service","Users","Create entity","","","Create user",""
